advertiser-role,available,brand,days-old,early-bird,id,neighbourhood,postcode,price-per-month,price-per-week,property-type,property-type-more,rooms-in-property,scp,status,title,type,error,date scraped
former flatmate,Available Now,free,1,Early Bird,12090841,London N7,N7,£985pcm,£228pw,flat,,2,,new,Outstanding double room available in cosy flat,offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,free,1,Early Bird,7780060,Crossharbour,E14,£970pcm,£224pw,house,,3,,new,Large room (en suite) in friendly house ,offered,False,2020-01-27 02:47:34.811272
live out landlord,15 Feb,free,2,Early Bird,8941840,Clapton,E5,"£1,950 pcm",£1pw,flat,,2,Y,new,Large 2 Bed Flat in Hackney,offered,False,2020-01-27 02:47:34.811272
current flatmate,20 Jun,free,2,Early Bird,14529529,London E15,E15,£975pcm,£225pw,flat,,4,,new,Spare Room at brand new Eleanor Rosa House ,offered,False,2020-01-27 02:47:34.811272
current flatmate,13 Feb,free,2,Early Bird,14341480,London Fields,E8,£975pcm,£225pw,flat,,3,,new,Bright top floor spacious double in Hackney sublet,offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,free,2,Early Bird,14311297,London Fields,E8,£980pcm,£227pw,flat,,4,,new,Large room with ensuite in Hackney/London Fields,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,free,2,Early Bird,12218371,Shepherds Bush,W12,"£800- £1,000pcm",£185- £231pw,house,,7,,new,!!!! En Suite Rooms with All Bills Included ,offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,free,3,Early Bird,14279251,Canada Water,SE16,£980pcm,£227pw,flat,,2,,new,Luxury Double in Canada Water,offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,free,3,Early Bird,11967445,Limehouse,E14,£964pcm,£223pw,flat,,2,,new,Spacious bedroom in Limehouse,offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,free,3,Early Bird,14180005,Camden,NW1,£990pcm,£229pw,flat,,2,,new,2 DOUBLE,offered,False,2020-01-27 02:47:34.811272
live out landlord, 1 Feb,free,3,Early Bird,3644420,West Kensington,W14,"£1,800 pcm",£1pw,flat,,2,Y,new,Quiet 2-bed garden flat in West Kensington,offered,False,2020-01-27 02:47:34.811272
former flatmate, 1 Mar,free,4,Early Bird,14517673,Fulham Broadway,SW6,£990pcm,£229pw,flat,,2,,new,Beautiful Double Room with Courtyard in Fulham,offered,False,2020-01-27 02:47:34.811272
live in landlord,22 Feb,free,4,Early Bird,11800834,Hammersmith and Fulham,W14,£970pcm,£224pw,flat,,3,,new,One room available for rent in a 3 bed flat,offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,free,5,Early Bird,780200,Hampstead,NW3,"£850- £1,500pcm",£197- £347pw,house,,2,,new,Great  location in zone 2 ,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,free,5,Early Bird,14508292,West Hampstead,NW6,"£850- £1,000pcm",£197- £231pw,flat,,3,,new,Flat share  West Hampstead,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,free,6,Early Bird,14502631,Stoke Newington,N16,"£1,950pcm",£450 pw,flat,,2,Y,new,"Two Bedroom, Balcony Flat, All Bills Included, N16",offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,free,6,Early Bird,8306026,Camden,NW1,£990pcm,£229pw,flat,,3,,new,Modern Hip flat in Victorian House ,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,free,7,,12332842,Maida Vale,W9,£975pcm,£225pw,flat,,3,,,Single Rooms Zone 2 Available Now - No Deposit ,offered,False,2020-01-27 02:47:34.811272
current flatmate,15 Mar,free,7,,14495506,East Village,E20,£972pcm,£225pw,flat,,2,,,One room in a 2-bed flat in Mirabelle Gardens,offered,False,2020-01-27 02:47:34.811272
current flatmate, 5 Apr,free,7,,14495107,Hackney,E9,£990pcm,£229pw,house,,2,,,Double Room - Hackney Central,offered,False,2020-01-27 02:47:34.811272
live out landlord,15 Mar,free,7,,11870914,Kennington,SE11,"£2,059pcm",£475 pw,flat,,2,Y,,"Modern, cosy and comfortable 2 bed apartment ",offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,free,7,,11856412,Finsbury Park,N4,"£800- £1,000pcm",£185- £231pw,house,,4,,, 2 spaceous double rooms in house in Finsbury Park,offered,False,2020-01-27 02:47:34.811272
former flatmate,Available Now,free,7,,14490865,Stratford,E15,£975pcm,£225pw,flat,,2,,,Student Accommodation,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,free,9,,13954000,Greenwich,SE10,£954- £997pcm,£220- £230pw,flat,,3,,,New Building Double rooms in Greenwich,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,free,9,,14434381,South Hampstead,NW6,"£1,950 pcm",£1pw,flat,,2,Y,,"Newly refurbished, 2 bed, 2 bath, South Hampstead",offered,False,2020-01-27 02:47:34.811272
current flatmate,23 Feb,free,9,,14481151,Dalston,E8,£965pcm,£223pw,flat,,2,,,"Spacious en suite double room, with roof terrace",offered,False,2020-01-27 02:47:34.811272
current flatmate,31 Jan,free,9,,14376652,London E7,E7,£970pcm,£224pw,house,,2,,,Double room to rent near Stratford ,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,free,10,,9014065,Little Venice,W9,"£920- £1,020pcm",£213- £236pw,flat,,3,,,Double rooms to let in Maida Vale-Little Venice,offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,free,10,,10573348,Mornington Crescent,NW1,£980pcm,£227pw,flat,,4,,,Room for rent at Mornington Crescent,offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,free,10,,14477320,Clapham,SW4,£975pcm,£225pw,flat,,2,,,Lovely furnished double room in flat in Clapham,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,free,10,,3658138,Manor House,N4,£980pcm,£227pw,flat,,3,,,Amazing Penthouse dbl room - Finsbury Park borders,offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,free,10,,14472583,Poplar,E14,"£800- £1,035pcm",£185- £239pw,flat,,3,,,2 double room (one en-suite) available in Poplar,offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,free,11,,10445491,Clapham South,SW12,£975pcm,£225pw,house,,4,,,Room To Let,offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,free,11,,13768924,Clapham Common,SW4,£980pcm,£227pw,flat,,2,,,Penthouse with an Incredible View (Bills Included),offered,False,2020-01-27 02:47:34.811272
former flatmate,Available Now,free,11,,14470645,Shadwell,E1,"£800- £1,100pcm",£185- £254pw,flat,,6,,,"Private Gated Development, All New, Living Room",offered,False,2020-01-27 02:47:34.811272
live out landlord,15 Feb,free,11,,4146182,Stockwell,SW9,£975pcm,£225pw,flat,,2,,,Gorgeous Double - Stockwell,offered,False,2020-01-27 02:47:34.811272
current flatmate,22 Feb,free,11,,14467804,East Village,E20,£985pcm,£228pw,flat,,2,,,Need a roomate ,offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,free,11,,14052103,Islington,N7,£980pcm,£227pw,house,,4,,,A room in a beautiful community home <3,offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,free,11,,14236744,East Village,E20,£975pcm,£225pw,flat,,2,,,Double Room to rent in fully furnished flat!,offered,False,2020-01-27 02:47:34.811272
live out landlord, 1 Feb,free,12,,12707155,Hampstead,NW3,"£2,100 pcm",£1pw,flat,,2,Y,,Hampstead Village - Prime Location - 2 Bed,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,free,12,,9371020,Isle of Dogs,E14,£975pcm,£225pw,house,,5,,,Ensuite Bedrooms in a Newly Refurbished Town House,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,free,13,,14421448,Limehouse,E14,"£672- £1,170pcm",£155- £270pw,property,,3,,,🆕New Property - 3 Double Rooms Limehouse,offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,free,14,,12769105,Mudchute,E14,"£950- £1,050pcm",£220- £243pw,house,,4,,,2 bedrooms available in a nice modern house,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,free,14,,14421361,Whitechapel,E1,"£629- £1,040pcm",£145- £240pw,property,,3,,,🆕New Property - 3 Double Rooms Whitechapel,offered,False,2020-01-27 02:47:34.811272
live out landlord,15 Apr,free,16,,14194909,Shepherds Bush,W6,"£1,950 pcm",£1pw,flat,,2,Y,,Beautiful light 2-bed flat with balcony,offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,free,18,,14122156,Finsbury Park,N4,£975pcm,£225pw,flat,,2,,,Lovely Standard Room at Sketch House,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,free,18,,14419522,Bermondsey,SE1,£800- £999pcm,£185- £231pw,flat,,2,,,Bedroom.,offered,False,2020-01-27 02:47:34.811272
former flatmate,10 Mar,free,18,,14418193,Camberwell,SE5,£965pcm,£223pw,flat,,2,,,Lovely two bed flat in Camberwell,offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,free,18,,14260828,Limehouse,E14,£990pcm,£229pw,flat,,3,,,Modern Flat in Limehouse with Balcony,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,free,19,,9699139,Whitechapel,E1,"£800- £1,000pcm",£185- £231pw,flat,,2,,,Big 2 Rooms Available Whitechapel E1 3Ep,offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,free,21,,9864739,North Kensington,W10,£975pcm,£225pw,house,,3,,,Double bedroom for single person in W10,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,free,21,,11411191,Harlesden,NW10,"£800- £1,100pcm",£185- £254pw,property,,12,,,Studio Flat in Harlesden ,offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,free,22,,5929132,London E14,E14,£820- £980pcm,£190- £227pw,flat,,4,,,"Big Double Room near Poplar, Canary Wharf, Bank",offered,False,2020-01-27 02:47:34.811272
current flatmate, 2 Feb,free,23,,11488000,Peckham,SE15,£975pcm,£225pw,flat,,2,,,Lovely double room for couple in shared flat,offered,False,2020-01-27 02:47:34.811272
current flatmate, 1 Feb,free,23,,14383789,Clapham Junction,SW11,£971pcm,£224pw,flat,,2,,,Luxurious En-Suite in Gradpad Griffon Studios,offered,False,2020-01-27 02:47:34.811272
current flatmate,28 Feb,free,25,,14373598,Whitechapel,E1,£970pcm,£224pw,flat,,2,,,Large room in spacious Whitechapel flat,offered,False,2020-01-27 02:47:34.811272
former flatmate,Available Now,free,25,,3496581,Limehouse,E14,£735- £965pcm,£170- £223pw,house,,4,,,"Large Ensuit Room, 10Mins to Canary Wharf, Zone 2",offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,free,25,,14253214,West Kensington,W14,"£1,950 pcm",£1pw,flat,,2,Y,,Characterful garden flat In leafy West Kensington,offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,free,26,,13936402,Stratford,E15,"£750- £1,250pcm",£174- £289pw,house,,4,,,2 rooms with own bathroom in luxury house,offered,False,2020-01-27 02:47:34.811272
live out landlord,1 Feb,featured,0,,448970,White City,W12,"£925- £1,125pcm",£214- £260pw,house,,6,,new,For Lovers of Art & Design  ,offered,False,2020-01-27 02:47:34.811272
live in landlord, 2 Mar,bold,0,,14539606,Brixton,SW9,£995pcm,£230pw,flat,,2,,new today,Bright double ensuite room in the heart of Brixton,offered,False,2020-01-27 02:47:34.811272
agent, 9 Feb,bold,0,,14523943,Bethnal Green,E2,"£759- £1,040pcm",£175- £240pw,flat,,3,,boosted,Incredible 3 Bed Flat in Bethnal Green ,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,14539003,Canary Wharf,E14,"£737- £1,084pcm",£170- £250pw,flat,,4,,new today,Cheap rooms close to Canary Wharf E14- Move ASAP,offered,False,2020-01-27 02:47:34.811272
agent,20 Feb,bold,0,,14539174,Canary Wharf,E14,£737- £997pcm,£170- £230pw,flat,,3,,new today,New style 3 Bed Flat in the heart of Canary,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,14538994,Bow Road,E3,£932- £997pcm,£215- £230pw,flat,,5,,new today,Beautiful rooms in Bow Road E3- Bills included,offered,False,2020-01-27 02:47:34.811272
agent,31 Jan,bold,0,,14515558,Canary Wharf,E14,"£1,019pcm",£235pw,flat,,3,,boosted,**Double room all inclusive living**,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,14538820,Bethnal Green,E2,"£780- £1,214pcm",£180- £280pw,flat,,4,,new today,Cosy rooms in Bethnal Green E2- Bills included,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,12805846,Canary Wharf,E14,"£932- £1,214pcm",£215- £280pw,flat,,3,,new today,Luxury Rooms in Modern Flat!,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,14538571,Stratford,E15,£607- £997pcm,£140- £230pw,flat,,4,,new today,Last rooms available in Stratford E15- Bills incl,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,14537788,Shadwell,E1,£997pcm,£230pw,flat,,4,,new today,Magical Double in Fashionable Flat Near the City,offered,False,2020-01-27 02:47:34.811272
live out landlord,27 Feb,featured,0,,1579674,Canada Water,SE16,£850- £999pcm,£197- £231pw,house,,4,,new,"Greenland Quay, London SE16",offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,14538544,North Greenwich,SE10,"£954- £1,344pcm",£220- £310pw,flat,,4,,new today,Best quality rooms in North Greenwich- SE10,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,14537605,Notting Hill,W11,"£824- £1,062pcm",£190- £245pw,flat,,4,,new today,Outstandin Doubles in Terrific Flat Near Nottinghi,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,14538427,Canary Wharf,E14,"£975- £1,235pcm",£225- £285pw,flat,,4,,new today,Very Very close to Canary Wharf- E14,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,14534947,London E14,E14,"£800- £1,100pcm",£185- £254pw,flat,,3,,new today,Amazing  doubles rooms availables now in Shadwell,offered,False,2020-01-27 02:47:34.811272
former flatmate, 1 Apr,free,0,Early Bird,14539810,London N6,N6,"£1,000pcm",£1pw,house,,3,,new today,Own suite of rooms in large house for short let,offered,False,2020-01-27 02:47:34.811272
current flatmate,22 Feb,free,0,Early Bird,14539777,East Village,E20,"£1,002pcm",£1pw,flat,,2,,new today,King-Sized Room with Own Bathroom in East Village,offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,free,0,Early Bird,2655721,Putney,SW15,"£1,000pcm",£1pw,flat,,3,,new today,Very large double room in Luxury Maisonette,offered,False,2020-01-27 02:47:34.811272
current flatmate,20 Apr,free,1,Early Bird,14535058,Canning Town,E16,"£1,000pcm",£1pw,flat,,2,,new today,Ensuite double room in Canning Town-all bills incl,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,bold,0,,14515372,Canary Wharf,E14,"£595- £1,025pcm",£138- £237pw,flat,,3,,new,Charming Apartment in desirable location,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,14516488,Fulham,SW6,"£910- £1,040pcm",£210- £240pw,flat,,6,,new,New Property/ Massive Rooms/ Green Garden ,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,featured,0,,10991542,Canary Wharf,E14,"£775- £1,050pcm",£179- £243pw,flat,,3,,new,Kingsize and Double with gym access               ,offered,False,2020-01-27 02:47:34.811272
agent, 6 Feb,bold,0,,14424895,Fulham,SW6,£993pcm,£229pw,house,,6,,new,Large double next to Buzzing Wandsworth Bridge,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,14533051,Fulham,SW6,"£953- £1,160pcm",£220- £268pw,flat,,6,,new,Victorian House New Refurbished ,offered,False,2020-01-27 02:47:34.811272
agent,10 Mar,bold,0,,14449552,Battersea,SW11,£993pcm,£229pw,house,,6,,new,Top floor double near Battersea Park,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,14403949,Willesden Green,NW10,"£1,019pcm",£235pw,flat,,5,,new,Double Room Luxury Villa Willesden Green,offered,False,2020-01-27 02:47:34.811272
agent,29 Jan,bold,0,,14387215,Rotherhithe,SE16,"£975- £1,225pcm",£225- £283pw,flat,,3,,new,Exclusive 3 Bed Apartment in a Luxury Property,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,14515264,Willesden Green,NW2,£997pcm,£230pw,flat,,2,,new,Amazing Double Room Willesden Green/ Jubilee Line,offered,False,2020-01-27 02:47:34.811272
live out landlord, 7 Mar,bold,0,,10651768,Clapham Junction,SW11,£997pcm,£230pw,house,,5,,new,"Large Ensuite room, in an amazing houseshare",offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,13206475,Bermondsey,SE16,£997pcm,£230pw,flat,,4,,new,Double Bedroom with Balcony min from the station.,offered,False,2020-01-27 02:47:34.811272
live out landlord, 1 Feb,bold,0,,448970,White City,W12,"£925- £1,125pcm",£214- £260pw,house,,6,,new,For Lovers of Art & Design  ,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,14497585,Islington,N7,"£1,000pcm",£1pw,flat,,4,,new,⚡️Great Deal: Large Room⚡️,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,featured,0,,13159276,Battersea,SW11,£997pcm,£230pw,house,,6,,new,Double room with garden view in professional share,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,bold,0,,8158348,Abbey Road,NW8,"£845- £1,517pcm",£195- £350pw,house,,5,,new,En-suite DBL + Studio Zone 2  7 Min Baker Street,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,10991542,Canary Wharf,E14,"£775- £1,050pcm",£179- £243pw,flat,,3,,new,Kingsize and Double with gym access               ,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,bold,0,,10477918,London NW8,NW8,"£867- £1,517pcm",£200- £350pw,property,,5,,new,Zone 2 DBL & Studio Same House 24 Hour Buses ,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,14494795,Bethnal Green,E2,"£780- £1,040pcm",£180- £240pw,flat,,3,,new,Big rooms in Bethnal Green,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,13513666,Swiss Cottage,NW3,"£850- £1,000pcm",£197- £231pw,flat,,4,,new,"3 X Large Room in swiss cottage,great location",offered,False,2020-01-27 02:47:34.811272
current flatmate,28 Feb,bold,0,,14452510,Hammersmith,W6,"£1,000pcm",£1pw,flat,,2,,new,Lovely double room in beautiful West London flat,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,bold,0,,13159276,Battersea,SW11,£997pcm,£230pw,house,,6,,new,Double room with garden view in professional share,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,14533477,Fulham,SW6,"£950- £1,150pcm",£220- £266pw,flat,,4,,new,🚀2 Rooms In A Riverside Flat In ZONE 1🚀,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,14398759,Battersea park,SW11,£997pcm,£230pw,flat,,4,,new,Battersea Park  Mansion Flat En Suite!!,offered,False,2020-01-27 02:47:34.811272
agent,21 Feb,bold,0,,4740651,Abbey Road,NW8,"£1,000pcm",£1pw,flat,,2,,new,En Suite Db Size Rm Available N Hart St Johns Wood,offered,False,2020-01-27 02:47:34.811272
current flatmate,1 Feb,featured,2,,14522512,Dalston Junction,E8,£997pcm,£230pw,flat,,4,,new,Double bedroom in modern flat - Dalston square,offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,bold,0,,14415055,Canary Wharf,E14,£997pcm,£231pw,flat,,2,,new,"Single room, Double bed, heart of Canary Wharf ! ",offered,False,2020-01-27 02:47:34.811272
other,Available Now,bold,0,,13884892,Little Venice,W9,"£950- £1,050pcm",£220- £243pw,flat,,4,,new,Perfect Location and Beautiful Rooms!,offered,False,2020-01-27 02:47:34.811272
former flatmate, 1 Mar,bold,0,,14528644,Camden,NW1,"£790- £1,270pcm",£183- £294pw,property,,2,,new,Beautiful 2-Bedroom House with Garden in Camden ,offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,bold,0,,12390616,Poplar,E14,"£1,000pcm",£1pw,flat,,2,,new,Modern one room flat,offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,bold,0,,3218635,Kensington,W14,"£780- £1,300pcm",£180- £300pw,flat,,4,,new, Nice single room in center ideal for young profes,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,14455582,Kilburn Park,NW6,"£1,000pcm",£1pw,flat,,3,,new,Double Room in amazing house ! All bill included ,offered,False,2020-01-27 02:47:34.811272
agent, 4 Feb,bold,0,,13709608,Clapham Junction,SW11,"£2,300 pcm",£1pw,house,,3,Y,new,"Tidy 3 bedroom house with car park, 10 min CJ stn",offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,bold,0,,11963578,Brixton,SW9,"£1,000pcm",£1pw,flat,,2,,new,Large recently renovated double in central Brixton,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,14467882,London W2,W2,"£1,000pcm",£1pw,flat,,3,,new,Beautiful Double Rooms in Central London - A,offered,False,2020-01-27 02:47:34.811272
live out landlord,11 Mar,bold,0,,14448925,Kennington,SE17,"£1,800 pcm",£1pw,flat,,2,Y,new,Bright and airy two bedroom flat in Kennington,offered,False,2020-01-27 02:47:34.811272
current flatmate,28 Feb,featured,1,,12895633,Canary Wharf,E14,£995pcm,£230pw,flat,,2,,new,DBL + private bathroom 5mins walk to Canary Wharf,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,14520028,Bethnal Green,E2,"£900- £1,125pcm",£208- £260pw,house,,3,,new,°°Free°°/\Exclusive Double Rooms,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,14524099,Canary Wharf,E14,£759- £997pcm,£175- £230pw,flat,,4,,new,Lovely Double Rooms next to Canary Wharf,offered,False,2020-01-27 02:47:34.811272
agent, 1 Feb,bold,0,,14515525,Canary Wharf,E14,"£1,001pcm",£231pw,flat,,4,,new,"Modern Double Room  - Free Netflix, Bills, Tv",offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,bold,0,,14474086,Chiswick,W4,"£1,006pcm",£232pw,house,,4,,new,Bright large skyline suite for single professional,offered,False,2020-01-27 02:47:34.811272
agent,13 Feb,bold,0,,6980317,Mile End,E3,"£1,000pcm",£1pw,flat,,4,,new,Large Room £1000pcm Mile End E3,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,14507038,Caledonian Road,N7,"£1,000pcm",£1pw,house,,4,,new,🌟 Available Now ✍,offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,bold,0,,1500525,Wapping,E1,£997pcm,£230pw,flat,,2,,new,Kingsize+ room and bathroom Wapping,offered,False,2020-01-27 02:47:34.811272
agent, 3 Feb,bold,0,,13899628,Fulham,SW6,£997pcm,£230pw,flat,,4,,new,Big Double Room Between W.Kensington & W.Bromton,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,bold,0,,602450,De Beauvoir Town,N1,£997pcm,£231pw,flat,,2,,new,1 Bed with ensuite avail Dalston nr Regent Canal,offered,False,2020-01-27 02:47:34.811272
live out landlord,31 Jan,bold,0,,8481118,Clapham,SW4,£999pcm,£231pw,house,,6,,new,"Kenwyn Road, Clapham SW4",offered,False,2020-01-27 02:47:34.811272
agent,Available Now,featured,4,,14234623,Camden,NW1,"£900- £1,000pcm",£208- £231pw,flat,,4,,new,Special Flatshare. Camden. Bills Inc.,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,bold,0,,11726641,Stratford,E15,"£850- £1,250pcm",£197- £289pw,flat,,3,,new,A brand new 3 double bedroom flat in Stratford,offered,False,2020-01-27 02:47:34.811272
live out landlord,27 Feb,bold,0,,1579674,Canada Water,SE16,£850- £999pcm,£197- £231pw,house,,4,,new,"Greenland Quay, London SE16",offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,14479729,Canary Wharf,E14,"£1,000pcm",£1pw,flat,,3,,new,Cheap En Suite Room Available Now ,offered,False,2020-01-27 02:47:34.811272
agent,31 Mar,bold,0,,14425915,Maida Vale,W9,"£875- £1,025pcm",£202- £237pw,flat,,4,,new,2 Stunning Rooms Dedicated Bathroom! Maida Vale,offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,bold,0,,9817177,London W12,W12,"£1,000pcm",£1pw,flat,,2,,new,Beautiful large double private room Shepherds Bush,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,13329649,Chiswick,W4,"£867- £1,084pcm",£201- £251pw,flat,,5,,new,"2 huge doubles same house,living+garden",offered,False,2020-01-27 02:47:34.811272
current flatmate,28 Feb,bold,1,,12895633,Canary Wharf,E14,£995pcm,£230pw,flat,,2,,new,DBL + private bathroom 5mins walk to Canary Wharf,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,14509252,Bethnal Green,E2,£737- £997pcm,£170- £230pw,flat,,4,,new,4 Double rooms - Bethnal Green ,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,14488438,Greenwich,SE10,"£867- £1,040pcm",£200- £240pw,flat,,3,,new,Move in Today to a Luxury Apartment,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,14516497,Stratford,E15,£737- £997pcm,£170- £230pw,flat,,4,,new,Stratford - 4 Double rooms - ,offered,False,2020-01-27 02:47:34.811272
agent,31 Jan,featured,2,,14414089,Maida Vale,W9,£997pcm,£230pw,flat,,4,,new,Bright Ensuite Double Room In Maida Hill ,offered,False,2020-01-27 02:47:34.811272
agent, 1 Feb,bold,1,,14527759,Paddington,W9,"£954- £1,170pcm",£220- £270pw,flat,,3,,new,Cozy Flat Next to Marylebone - Zone 1,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,14514355,Canary Wharf,E14,"£737- £1,040pcm",£170- £240pw,flat,,4,,new,4 Double rooms - Canary Wharf - Garden ,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,14427733,Commercial Road,E1,"£910- £1,019pcm",£210- £235pw,flat,,7,,new,🌈 Beautiful En-Suite in Limehouse,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,14509177,Canada Water,SE16,"£780- £1,040pcm",£180- £240pw,flat,,4,,new,4 Double rooms * Canada Water - ,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,14534275,Rotherhithe,SE16,"£975- £1,250pcm",£225- £289pw,flat,,3,,new,Exclusive 3 Bed penthouse with Perfect Location ,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,11513665,Chiswick,W4,"£819- £1,050pcm",£189- £243pw,house,,6,,new,2 dble rms  in ALL inc prof/share w/garden+WiFi,offered,False,2020-01-27 02:47:34.811272
live in landlord,25 Feb,bold,1,,6104125,Haggerston,E2,"£1,000pcm",£1pw,flat,,3,,new, Double Bedroom near Shoreditch,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,14520313,Canary Wharf,E14,£997pcm,£230pw,flat,,4,,new,An Amazing large double room near Limehouse,offered,False,2020-01-27 02:47:34.811272
current flatmate,12 Feb,bold,1,,2487604,Stratford,E15,"£1,000pcm",£1pw,flat,,2,,new,Stunning en-suite double bedroom in 2 bedroom flat,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,14481691,Seven Sisters,N15,"£1,000 pcm",£1pw,flat,studio flat,1,Y,new,Brand NEW studio Apartment in Manor House N15,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,featured,2,,14407963,Maida Hill,W9,£997pcm,£230pw,flat,,3,,new,Lovely Dl w/ Roof Terrace - Queen's Park,offered,False,2020-01-27 02:47:34.811272
