advertiser-role,available,brand,days-old,early-bird,id,neighbourhood,postcode,price-per-month,price-per-week,property-type,property-type-more,rooms-in-property,scp,status,title,type,error,date scraped
agent,29 Feb,bold,3,,14505418,Aldgate,E1,£630pcm,£146pw,flat,,4,,new,Double room available in Feb!!,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,bold,4,,1996434,Wandsworth Road,SW8,£629- £650pcm,£145- £150pw,flat,,5,,new, 2 Doubles in Vauxhall £145/150pw One Person Only,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,4,,14007178,Hoxton,N1,£607pcm,£140pw,flat,,5,,new,HOXTON- Single room // takeitnow!,offered,False,2020-01-27 02:47:34.811272
agent, 1 Jun,bold,5,,12234769,Chelsea,SW10,"£4,000 pcm",£1pw,flat,,4,Y,new,Amazing Flat in SW10 for a group of 6 people max,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,10,,14285740,Aldgate East,E1,£620- £650pcm,£144- £150pw,flat,,6,,,2Rooms-21/12/19-ZoNE1-Furnished All Bills Paid,offered,False,2020-01-27 02:47:34.811272
current flatmate,10 Feb,free,2,Early Bird,2317425,Angel,EC1,£630pcm,£146pw,flat,,4,,new,Double Room in Angel £630 pcm,offered,False,2020-01-27 02:47:34.811272
former flatmate,18 Mar,free,3,Early Bird,14520310,Bermondsey,SE1,£620pcm,£144pw,flat,,3,,new,Lovely double bedroom available in Bermondsey,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,free,4,Early Bird,13241581,Kensington and Chelsea,SW10,£629pcm,£145pw,flat,,4,,new,Great Double Room in Earls Court/All Bills Incl.,offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,free,10,,505880,London N1,N1,£564- £650pcm,£130- £150pw,flat,,3,,,Fully Furnished Double & Single room All Inclusive,offered,False,2020-01-27 02:47:34.811272
live out landlord, 4 Feb,free,11,,14468878,Elephant and Castle,SE17,£620pcm,£144pw,house,,5,,,Single bedroom available in Elephant & Castle,offered,False,2020-01-27 02:47:34.811272
former flatmate,Available Now,free,17,,12828772,Vauxhall,SW8,£542- £780pcm,£125- £180pw,flat,,3,,,Bright Double Room 5 min walk from Vauxhall ,offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,free,22,,10936555,Commercial Road,E1,£625pcm,£145pw,flat,,4,,,Single room in flat share (Near Aldgate East),offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,free,23,,10305022,Shoreditch,E2,£607pcm,£140pw,flat,,2,,,"Columbia road flat share, 5 mins from Hoxton,",offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,free,23,,13892098,Vauxhall,SW8,£625pcm,£145pw,flat,,2,,,M-F only - or any 4 nights.  ,offered,False,2020-01-27 02:47:34.811272
current tenants, 1 Mar,free,0,Early Bird,14539039,London WC1H,WC1,"£1,500 pcm",£1pw,flat,,2,Y,new today,2 bed room flat avilable in kingscross zone 1,offered,False,2020-01-27 02:47:34.811272
former flatmate, 1 Mar,free,1,Early Bird,14533144,King's Cross,WC1,£636pcm,£147pw,flat,,3,,new today,Lovely double room in the heart of Kings Cross,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,9997537,Hoxton,E2,£650pcm,£150pw,flat,,4,,new,**Very Cheap Single in New Flat**,offered,False,2020-01-27 02:47:34.811272
agent, 6 Feb,bold,0,,14532925,Hoxton,E2,£650pcm,£150pw,flat,,5,,new,Double Room 10 Min to Shoreditch,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,10232965,London Bridge,SE1,£650pcm,£150pw,flat,,4,,new,London Bridge Below Market Price!,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,9811222,Old Street,N1,£650pcm,£150pw,flat,,4,,new,Zone 1 Modern Double,offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,bold,0,,4213791,Wapping,E1,£600- £800pcm,£139- £185pw,house,,3,,new,Jan to March - short let -great location  2 rooms,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,13649530,Marble Arch,W1,£650pcm,£150pw,flat,,2,,new,Marble Arch / Twin Room / £150 pwk each person,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,12658012,Liverpool Street,EC2,£550- £875pcm,£127- £202pw,flat,,9,,new,Twin/double/Single rooms in Liverpool Street! ,offered,False,2020-01-27 02:47:34.811272
agent, 2 Mar,bold,1,,14293360,Tower Bridge,SE1,£650- £741pcm,£150- £171pw,flat,,3,,new,Zone 1!! Tower Bridge 2 Double Rooms,offered,False,2020-01-27 02:47:34.811272
former flatmate,28 Feb,bold,1,,13800382,Bayswater,W2,£600- £860pcm,£139- £199pw,flat,,3,,new,Very large  and small double room,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,14179705,Hoxton,E2,£650pcm,£150pw,flat,,4,,new,🏠 Superb 3 Double Rooms in Hoxton,offered,False,2020-01-27 02:47:34.811272
agent, 8 Feb,bold,2,,11939365,Bethnal Green,E2,£650pcm,£150pw,flat,,3,,new,Double room Bethnal Green,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14139562,Hoxton,N1,£637pcm,£147pw,flat,,2,,new,+ Single Room in Nile Street +,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,10663123,Old Street,N1,£650pcm,£150pw,flat,,5,,new,Spacious Modern Double in the Trendy Shoreditch!!!,offered,False,2020-01-27 02:47:34.811272
current flatmate,31 Jan,bold,2,,14526508,Elephant and Castle,SE17,£643pcm,£149pw,flat,,3,,new,Amazing double beside Elephant and Castle,offered,False,2020-01-27 02:47:34.811272
former flatmate, 1 Apr,bold,2,,14511349,Hoxton,E2,£635pcm,£147pw,flat,,3,,new,Double room in Hoxton,offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,bold,3,,13405606,Notting Hill,W11,£650pcm,£150pw,flat,,2,,new,Lovely Room off Portobello Road,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,bold,4,,1996434,Wandsworth Road,SW8,£629- £650pcm,£145- £150pw,flat,,5,,new, 2 Doubles in Vauxhall £145/150pw One Person Only,offered,False,2020-01-27 02:47:34.811272
live out landlord, 1 Feb,bold,4,,2559218,Shoreditch,E1,£650pcm,£150pw,flat,,3,,new,"Great room in Clean, Airy Flat close to Brick Lane",offered,False,2020-01-27 02:47:34.811272
